H,T,seed,curvature_fd_euro,dk,price_m2,price_se_m2,price_m1,price_se_m1,price_0,price_se_0,price_p1,price_se_p1,price_p2,price_se_p2,price_fit_rmse,price_fit_cond,price_atm_fit,price_quadratic_coef_scaled,iv_fit_rmse,iv_fit_cond,iv_atm_fit,iv_quadratic_coef_scaled,iv_m2,iv_m1,iv_0,iv_p1,iv_p2
0.05,0.1,0,-0.7021861305457298,0.009486832980505138,0.04680470842630823,0.0007456132631275261,0.04134034595066541,0.0007049381347852949,0.03628033952330367,0.0006631465952450693,0.03160686348070032,0.0006208055333795246,0.027345832508420705,0.0005780648924767516,1.4066450866659529e-05,7.980424036748029,0.03628033952329054,2.1473910267264875,2.2572179205786065e-05,7.980424036748029,0.2875817199981342,-0.3510930652728649,0.2894684855494033,0.2885330090130463,0.28758171999814325,0.286567234231455,0.28547216645985196
0.05,0.1,1,-2.8279006574225045,0.009486832980505138,0.047295926318885656,0.0007473372505411583,0.04184262370383528,0.0007061768204415851,0.03676095288193601,0.0006641247120781687,0.032036658247665065,0.0006217249781429444,0.027717846045141537,0.0005789468140015879,2.2438507058566204e-05,7.980424036748029,0.03676095288191728,1.985423265016751,2.639185349402937e-05,7.980424036748029,0.29139137608581744,-1.4139503287112523,0.29347448702874945,0.2925356741428117,0.2913913760858222,0.2899925669696456,0.28830639695483223
0.05,0.1,2,0.9216151408063553,0.009486832980505138,0.046573114826756655,0.0007469166122588913,0.04115883250787892,0.0007059952005431327,0.0361052317170395,0.0006644068109373918,0.031458406004814275,0.0006221244403501792,0.027230932424923304,0.0005793887385214928,2.136725381611231e-05,7.980424036748029,0.036105231717049546,2.2598615476338635,2.194282263426525e-05,7.980424036748029,0.28619370090113355,0.46080757040317766,0.28811039087744805,0.28708637704299245,0.2861937009011456,0.2853839701219232,0.2846490841045342
0.05,0.1,3,0.39441360942398146,0.009486832980505138,0.04638793505744014,0.0007492273711874674,0.04099108436279712,0.0007084237057271172,0.03596884145060462,0.0006668534926361257,0.03134891891324672,0.0006246502562966675,0.027144253381153664,0.0005820535849485865,1.3677311004976683e-05,7.980424036748029,0.035968841450609045,2.2351131934273187,1.7720120229037968e-05,7.980424036748029,0.28511258236891146,0.19720680471199073,0.2864612577493499,0.28574938145438483,0.2851125823689228,0.28451128050826374,0.28394362165483916
0.05,0.1,4,3.999489369223566,0.009486832980505138,0.046582711730431846,0.0007590757813142378,0.041182263149043274,0.000718690136112356,0.036180528453700525,0.0006773410256068011,0.03161949858703095,0.000635000854257953,0.027442795981988847,0.000592489668202949,3.143777755529124e-05,7.980424036748029,0.03618052845373003,2.4483601586413046,1.9573720934420005e-05,7.980424036748029,0.28679055212494087,1.999744684611783,0.2881548968273198,0.28727311980782483,0.28679055212495846,0.286667938485252,0.28692463540454405
0.05,0.1,5,2.727199201272331,0.009486832980505138,0.04639226838483527,0.0007424496934573713,0.04098609082291264,0.0007013554810945876,0.03597420301841164,0.0006592441262012552,0.031390916015950544,0.0006161479064329971,0.02717574300591487,0.0005729494006368087,3.109952373296057e-05,7.980424036748029,0.03597420301844008,2.3811155662578667,1.8746526754222783e-05,7.980424036748029,0.28515508166519266,1.3635996006361655,0.2865498313233195,0.2857095806130886,0.2851550816652082,0.2848460306453803,0.28479394980509276
0.05,0.1,6,1.3551944934310725,0.009486832980505138,0.046715706530222036,0.000756412249189249,0.04131187551836517,0.000715786765539717,0.03631361852443495,0.0006740786842515637,0.03172476034973794,0.0006316049789496119,0.027507121761361573,0.0005890590631647002,1.7159737309946312e-05,7.980424036748029,0.03631361852444754,2.274437884349614,1.5774435176606778e-05,7.980424036748029,0.28784551114557566,0.6775972467155362,0.28892299932248505,0.28830610961446984,0.28784551114558843,0.2875068801810651,0.28729834354467587
0.05,0.05,0,-1.2615428325081537,0.006708203932499369,0.03316162024647839,0.0005288932751858525,0.029300752092291427,0.0005001319846590665,0.02572476087444279,0.00047058852630061754,0.022421892801701218,0.0004406538126913744,0.019409375480198495,0.00041044142240227196,9.32675739797833e-06,7.980424036748029,0.02572476087443409,3.0347016126862725,2.2094753782477875e-05,7.980424036748029,0.28837411749027125,-0.6307714162540768,0.29023060184569716,0.28930744567828304,0.28837411749028036,0.28738401987477874,0.28632073417169457
0.05,0.05,1,-5.877162361429778,0.006708203932499369,0.033508574520370524,0.0005301128956987605,0.029656011501238973,0.00050100433927958,0.02606549935036377,0.00047126885833640857,0.022726050875817753,0.0004412981485050505,0.019672749197501966,0.00041105951915098384,1.6441068573534872e-05,7.980424036748029,0.026065499350349946,2.7895964042704455,2.5769441304266527e-05,7.980424036748029,0.2921937898194699,-2.938581180714889,0.2942115873168791,0.29331107258343275,0.29219378981947464,0.29081203474923356,0.2891334867507531
0.05,0.05,2,1.8803576649315095,0.006708203932499369,0.032999268355788376,0.000529824543490159,0.029173609074816833,0.0005008901807682915,0.025602537674133174,0.00047148566330935477,0.022318458144521807,0.0004415911947425443,0.019330061769113692,0.0004113764591884953,1.5003712992836951e-05,7.980424036748029,0.025602537674140276,3.1887985671548447,2.1433314295346472e-05,7.980424036748029,0.2870039975620945,0.9401788324657547,0.2888768946721704,0.28787445284160923,0.2870039975621066,0.2862181583774778,0.28550965691580416
0.05,0.05,3,0.852334189043474,0.006708203932499369,0.03286678499362197,0.0005314772613197034,0.029053818122390856,0.0005026242598989421,0.025504787492484287,0.0004732355578168777,0.022239712388280757,0.0004433992736017712,0.019267556247179234,0.0004132842701989533,9.809331842875609e-06,7.980424036748029,0.025504787492487597,3.155061396553379,1.7300348993457658e-05,7.980424036748029,0.2859082197429661,0.426167094521737,0.287217310094484,0.28652425217924893,0.2859082197429774,0.2853305423451678,0.2847901676480629
0.05,0.05,4,8.111598431610345,0.006708203932499369,0.033006553735254004,0.0005384886399239343,0.0291909609830489,0.0005099322650609531,0.025656823853329916,0.00048069569933763436,0.022433964773691684,0.0004507561134704915,0.019480794362900955,0.0004207062661586302,2.2886912406727036e-05,7.980424036748029,0.025656823853351326,3.458644999947727,1.935700686917139e-05,7.980424036748029,0.2876125446773884,4.055799215805172,0.2889307738784953,0.2880700258097628,0.28761254467740605,0.2875200854744016,0.28781291610707926
0.05,0.05,5,5.446360504667669,0.006708203932499369,0.03287154678103345,0.0005266602486914594,0.029051805452317135,0.0004976018393003333,0.025509759116072957,0.0004678319711299349,0.022269953657586064,0.0004373692835727104,0.019289920796021744,0.0004068327091114023,2.1936523619249994e-05,7.980424036748029,0.025509759116093055,3.35823197418975,1.8439383177539595e-05,7.980424036748029,0.2859639515562416,2.7231802523338344,0.2873237288096018,0.28650156616273487,0.28596395155625703,0.28567142317242766,0.28563593171047225
0.05,0.05,6,2.5414579991043977,0.006708203932499369,0.03310280385005594,0.0005365813429113733,0.029284363809640564,0.0005078573262164155,0.025752380897158075,0.00047836769951759234,0.02250840478577993,0.00044834487204998576,0.019526666718637294,0.0004182670630926878,1.1544958328430583e-05,7.980424036748029,0.025752380897166267,3.200075567462558,1.5332935944719518e-05,7.980424036748029,0.2886837374598889,1.2707289995521989,0.2897093628204117,0.2891227423081313,0.28868373745990145,0.28835909822158146,0.2881571869212375
0.05,0.025,0,-2.281632413276074,0.004743416490252569,0.023492191157455107,0.00037509511496547685,0.020764152934585445,0.0003547584852403335,0.018236920336637052,0.0003338730567074552,0.015902652118786265,0.00031270956824471305,0.013772836560278647,0.00029135300734653766,6.220380677023227e-06,7.980424036748029,0.01823692033663125,4.2880973360166905,2.1635574191361733e-05,7.980424036748029,0.28911553677773816,-1.140816206638037,0.29094082099961954,0.2900309357033004,0.2891155367777473,0.2881488011228592,0.28711521313822314
0.05,0.025,1,-12.205114034832752,0.004743416490252569,0.023737248020284093,0.0003759575874412282,0.0210153892927606,0.0003553728525314798,0.018478420707937752,0.0003343464642450786,0.01611784758168472,0.0003131612597856625,0.013959223970205898,0.00029178645654744215,1.204300163541427e-05,7.980424036748029,0.018478420707927542,3.9198990802345723,2.5175490843575853e-05,7.980424036748029,0.2929441168335053,-6.102557017416376,0.29489757018898705,0.2940349359607369,0.2929441168335097,0.29157868264048137,0.289906801537387
0.05,0.025,2,3.8273940601301017,0.004743416490252569,0.023378348311088388,0.00037576016375754446,0.020675045112819052,0.0003553020961669982,0.018151553688555835,0.00033451169604435286,0.015830570580251384,0.00031337544904795714,0.013718043487517846,0.0002920134953522854,1.0492932341526193e-05,7.980424036748029,0.01815155368856086,4.500184798638031,2.0945295522295827e-05,7.980424036748029,0.2877621929113253,1.9136970300650509,0.28959164203841026,0.2886106670365682,0.2877621929113373,0.2869998351524116,0.2863171126923959
0.05,0.025,3,1.837515620132247,0.004743416490252569,0.023283620075695056,0.0003769416090201976,0.020589579091102782,0.000356539432543374,0.018081554059685263,0.0003357625424794209,0.015773989301201576,0.00031466905940623406,0.01367302795839438,0.00029337860911197094,7.019637818535608e-06,7.980424036748029,0.018081554059687758,4.454672731641841,1.6909811414023784e-05,7.980424036748029,0.2866524671515858,0.9187578100661234,0.28792343391504543,0.287248373224883,0.2866524671515971,0.28609790517971917,0.2855844161320563
