H,T,seed,curvature_fd,dk,price_fit_rmse,price_fit_cond,iv_fit_rmse,iv_fit_cond,fd_selected_bump_frac,fd_status,price_m2,price_se_m2,price_m1,price_se_m1,price_0,price_se_0,price_p1,price_se_p1,price_p2,price_se_p2,price_atm_fit,price_quadratic_coef_scaled,iv_atm_fit,iv_quadratic_coef_scaled,iv_m2,iv_m1,iv_0,iv_p1,iv_p2
0.05,0.1,0,-1.4343674677777496,0.010954451150103323,1.2337825089005044e-05,7.980424036748029,0.00011473095182669845,7.980424036748029,0.2,stable,0.03369126884070737,0.0005800776753769781,0.026805262617234354,0.0005247150542936386,0.020785914404824718,0.0004658078074505622,0.015660800236097425,0.0004052972361359763,0.011429100313250569,0.000345151096496445,0.020785914404833235,3.7259751818681544,0.1647627639326667,-0.7171837338888748,0.16621154725967238,0.16544662660361778,0.16476276393275513,0.16390677716540644,0.16292007632985936
0.05,0.1,1,-0.9466176183730575,0.010954451150103323,4.814145051944918e-06,7.980424036748029,0.00010096664372511424,7.980424036748029,0.2,stable,0.034295969692189815,0.0005942981580391813,0.027431544328156518,0.0005389406127480071,0.021445400531752937,0.0004797092740797907,0.016332730095975325,0.0004187260873477851,0.012083901763972308,0.00035786952243685455,0.021445400531754387,3.6394723359174246,0.16999028267110872,-0.47330880918652873,0.17114744960540992,0.1705176562774139,0.16999028267119323,0.16934931495043062,0.1686603986678377
0.05,0.1,2,2.812173808852938,0.010954451150103323,4.455480551242624e-05,7.980424036748029,0.0001530254404443971,7.980424036748029,0.2,stable,0.03384494702872873,0.0005860830614280631,0.026914950207042303,0.0005317282839820529,0.020857725844639605,0.000473992136101954,0.015754499006205708,0.00041411228564900077,0.01154757963697109,0.00035472692120964517,0.02085772584468128,3.974989682510449,0.16533198841228675,1.406086904426469,0.1680024533896178,0.16633524682588344,0.16533198841241542,0.16466619085549636,0.16444027473390557
0.05,0.1,3,-2.615009159474077,0.010954451150103323,2.0242056847321094e-05,7.980424036748029,9.359808394382576e-05,7.980424036748029,0.2,stable,0.0335932544152771,0.0005876419738537982,0.026773546342168542,0.0005322382479429407,0.020792033206193588,0.0004738265235776174,0.01568699381202252,0.00041420345545121134,0.011482582609415763,0.00035513423867661217,0.02079203320619783,3.6519739241123412,0.16481126555763204,-1.3075045797370386,0.16545634521330105,0.16518964233304875,0.16481126555770897,0.16411908768292538,0.16316740051413178
0.05,0.1,4,-0.6235928671243957,0.010954451150103323,1.7649656233175835e-05,7.980424036748029,0.00011132604969216679,7.980424036748029,0.2,stable,0.034391083921814024,0.0005980091597597759,0.027537601948859774,0.0005426854865478217,0.021524281592761596,0.0004840155177242289,0.016386001369951886,0.00042371271773476666,0.012141228573682468,0.00036343053370884305,0.02152428159276652,3.6460005552867374,0.17061554559585407,-0.31179643356219783,0.17230656718575166,0.17137577775570015,0.17061554559594025,0.1697804822917816,0.16891244441984393
0.05,0.1,5,-5.886177671944941,0.010954451150103323,3.0093316166259966e-05,7.980424036748029,4.673116990672185e-05,7.980424036748029,0.2,stable,0.03370886657898171,0.0005896694960291606,0.026963428934287756,0.0005331420079773035,0.02105645614313238,0.00047329159253644133,0.01596605388065627,0.0004124375280386424,0.011755851361533527,0.00035178231595735655,0.02105645614310672,3.4023772032568695,0.16690725484559518,-2.9430888359724703,0.16593593459825512,0.16672792534295403,0.16690725484563726,0.16638024302751933,0.1651931830212064
0.05,0.1,6,5.711117967045956,0.010954451150103323,7.734840888635677e-05,7.980424036748029,0.00018377591811795553,7.980424036748029,0.2,stable,0.034033333000732996,0.0005910835439493562,0.027107886744762326,0.0005368040161876725,0.02100419171954168,0.0004797711997043028,0.015891153824942526,0.00042041427675612163,0.011731561786286832,0.00036087572422673493,0.021004191719603518,4.127738043228101,0.16649297281275643,2.855558983522978,0.17038212472153066,0.16789780048762654,0.16649297281290953,0.1657734792936271,0.16585552638831574
0.05,0.05,0,-2.883087969333729,0.007745966692414834,8.411166578733258e-06,7.980424036748029,0.00011255163099581541,7.980424036748029,0.2,stable,0.023853293870547573,0.0004112904099117651,0.018988294314810302,0.00037213793445987035,0.014735126081160633,0.00033048891701872797,0.0111125738150687,0.0002877126038724703,0.008119701721440812,0.0002451948082948193,0.014735126081166552,5.255133062784306,0.16518050451482144,-1.4415439846668645,0.1665691885705595,0.16583746838490615,0.16518050451490912,0.16435055536640236,0.16339193178570122
0.05,0.05,1,-1.853604189195947,0.007745966692414834,3.7700509931022446e-06,7.980424036748029,9.943369729898763e-05,7.980424036748029,0.2,stable,0.024283481460970074,0.000421390669767637,0.019433942597131184,0.0003822364708934414,0.015204006869275904,0.000340357431945248,0.011590283842314388,0.0002972439217425536,0.008585055266930458,0.00025422484492495525,0.0152040068692772,5.135105840738167,0.17043664991262095,-0.9268020945979735,0.1715437585426216,0.17094004012946712,0.17043664991270494,0.16982204344425586,0.1691646622876623
0.05,0.05,2,5.563726448389768,0.007745966692414834,3.118153307715456e-05,7.980424036748029,0.0001507139661978215,7.980424036748029,0.2,stable,0.023961465716710612,0.0004155644246294611,0.019065822254247477,0.0003771191307652032,0.014786017530819031,0.000336297044292706,0.011178856608815763,0.0002939684348612958,0.008203908992918152,0.0002519843112049412,0.014786017530848199,5.605365010906483,0.16575099677169242,2.781863224194884,0.16835443375704937,0.16672562080558928,0.1657509967718199,0.1651101963244452,0.16490781178308342
0.05,0.05,3,-5.139557595603073,0.007745966692414834,1.4092105161480854e-05,7.980424036748029,9.21039519335203e-05,7.980424036748029,0.2,stable,0.023784377021050403,0.00041666560656951953,0.01896634642830865,0.00037748436181557265,0.014739786715093616,0.0003361880971445951,0.011131818650771967,0.0002940354151759325,0.008158485957168702,0.00025227458950273805,0.014739786715096943,5.154930407334285,0.16523275013931776,-2.5697787978015363,0.16582843427757799,0.1655859980090501,0.16523275013939448,0.1645711288136966,0.16365931481552853
