H,T,logT,curv_mall,se_mall,abs_curv_mall,log_abs_curv_mall,curv_fd,se_fd,abs_curv_fd,log_abs_curv_fd,curv_theory,abs_curv_theory,log_abs_curv_theory,time_mall_s,time_fd_s,fd_selected_bump_frac,fd_status,fd_blowup_flag,fd_blowup_ratio_smallest_to_largest,fd_rel_se_selected,fd_neighbor_log_gap_selected,n_steps,n_paths_mall,n_paths_fd,n_seeds_fd
0.05,0.1,-2.3025850929940455,0.0010399912344122922,2.290525524519229e-06,0.0010399912344122922,-6.868542994314095,-3.2885454720679013,1.7007678364137466,3.2885454720679013,1.1904453612652803,0.0010973333852510574,0.0010973333852510574,-6.814872237522796,21.171963625005446,0.6168143328977749,0.2,stable,False,3.0537493897452266,0.5171793581264579,0.8099189912918914,256,8000,4000,7
0.05,0.05,-2.995732273553991,0.0004900421865549407,1.0417920582590315e-06,0.0004900421865549407,-7.621019075555481,-6.600802351449651,3.4056234185233585,6.600802351449651,1.887191210045003,0.0005119241255770031,0.0005119241255770031,-7.577334136138736,20.965181875042617,0.6620522909797728,0.2,stable,False,3.0612372414289077,0.5159408261596296,0.8144744265149588,256,8000,4000,7
0.05,0.025,-3.6888794541139363,0.0002307528573918101,4.735410069195432e-07,0.0002307528573918101,-8.374163301594884,-13.253022155790672,6.825573529671662,13.253022155790672,2.5842256136537785,0.0002388210491634877,0.0002388210491634877,-8.339796034754675,21.58063245890662,0.6605787500739098,0.2,stable,False,3.068585161864646,0.5150201553605153,0.8196116639553046,256,8000,4000,7
0.05,0.0125,-4.382026634673881,0.00010859002517478991,2.151209735690552e-07,0.00010859002517478991,-9.127931003902082,-26.58749724095727,13.671175944261632,26.58749724095727,3.2804410767541743,0.00011141395897148395,0.00011141395897148395,-9.102257933370616,21.36075516708661,0.5902586249867454,0.2,stable,False,3.092747084805739,0.514195669504446,0.8240551374717007,256,8000,4000,7
0.05,0.00625,-5.075173815233827,5.107167624115523e-05,9.767272384870134e-08,5.107167624115523e-05,-9.882280495420119,-53.21448561360874,27.34169951734642,53.21448561360874,3.974330645254591,5.197644971906139e-05,5.197644971906139e-05,-9.864719831986555,22.467387625016272,0.6492410000646487,0.2,stable,False,3.110915266610261,0.5138018192240916,0.8264331135258094,256,8000,4000,7
0.1,0.1,-2.3025850929940455,0.001267633404346132,3.414584429794815e-06,0.001267633404346132,-6.670603578060102,-3.4495742432418113,1.7120619735522886,3.4495742432418113,1.238250815671908,0.0012733306922568567,0.0012733306922568567,-6.666119219177744,22.850852417061105,0.6011693339096382,0.2,stable,False,2.743805638505331,0.49631109604509965,0.7585046966421198,256,8000,4000,7
0.1,0.05,-2.995732273553991,0.0005579402337326222,1.3994353127195755e-06,0.0005579402337326222,-7.491258709325488,-7.114511372106492,3.5060930494225038,7.114511372106492,1.96213655344305,0.0005542493757032252,0.0005542493757032252,-7.497895835849678,22.032692749984562,0.6339827919146046,0.2,stable,False,2.8678468174766376,0.4928086928314806,0.7929592091588455,256,8000,4000,7
0.1,0.025,-3.6888794541139363,0.0002452208101510962,5.7287342417383e-07,0.0002452208101510962,-8.313351487392975,-14.532660118071094,7.125256040854456,14.532660118071094,2.6763985384629034,0.00024125105311248392,0.00024125105311248392,-8.329672452521612,22.4741356249433,0.6671949999872595,0.2,stable,False,3.0294249563523072,0.49029262247689476,0.8191380437979876,256,8000,4000,7
0.1,0.0125,-4.382026634673881,0.00010764236066027802,2.3427213793011416e-07,0.00010764236066027802,-9.13669630127695,-29.466515018600663,14.400973437594194,29.466515018600663,3.383254534534666,0.00010501062009142803,0.00010501062009142803,-9.161449069193546,22.156634625047445,0.620668665971607,0.2,stable,False,3.1757764659061816,0.4887233331971431,0.8393558517860611,256,8000,4000,7
0.1,0.00625,-5.075173815233827,4.7199302282801505e-05,9.571845595848093e-08,4.7199302282801505e-05,-9.961131447626057,-59.34073114758843,28.958337046912767,59.34073114758843,4.0832959361145145,4.570852723633398e-05,4.570852723633398e-05,-9.99322568586548,22.225298083969392,0.6432055840268731,0.2,stable,False,3.297301401414573,0.48800101527042977,0.8534545884060925,256,8000,4000,7
0.15,0.1,-2.3025850929940455,0.0011548119345704793,3.28793760102032e-06,0.0011548119345704793,-6.763817775477876,-3.555705244146364,1.7234620935424405,3.555705244146364,1.2685534244934955,0.0011265563485623451,0.0011265563485623451,-6.788589778426561,22.391681999899447,0.6124860419658944,0.2,stable,False,2.581849245783547,0.48470330784018645,0.7396035684688507,256,8000,4000,7
