H,beta_fd_euro,se_beta_fd_euro,R2_fd_euro,intercept_fd_euro,beta_theory_euro,beta_error_fd_euro
0.05,-0.9714042051697434,0.001132430721849703,0.9999959229802856,-2.069751736445269,0.1,1.0714042051697434
0.1,-0.9642116398928111,0.0020853622954552157,0.9999859675515801,-2.048424582651965,0.2,1.164211639892811
0.15,-0.9716647330716749,0.002448336395134117,0.9999809531886872,-2.1345330624446808,0.3,1.2716647330716748
0.2,-0.9901977531770558,0.012789483337018917,0.9994997742053465,-2.2362084313521833,0.4,1.390197753177056
0.25,-0.9933512436124944,0.020078031004958523,0.9987758747402856,-2.2570824966416083,0.5,1.4933512436124943
0.3,-0.9605560458660426,0.024091342032218896,0.9981164418533366,-2.121577262654283,0.6,1.5605560458660426
0.35,-0.9085309348964326,0.02871942845342367,0.9970112234385442,-1.9229144404015255,0.7,1.6085309348964325
0.4,-0.852043379154039,0.025265540895678958,0.99736906005612,-1.728017462148733,0.8,1.6520433791540392
