H,beta_mall,se_beta_mall,R2_mall,intercept_mall,beta_fd,se_beta_fd,R2_fd,intercept_fd,beta_theory_asian,beta_theory_euro,beta_error_mall,beta_error_fd
0.05,1.087026746105121,0.00030731522614066886,0.9999997602222686,-4.364874531932975,-1.004260137366595,0.0005097185424265554,0.9999992271604562,-1.1212671297780321,1.1,0.1,0.012973253894879022,2.104260137366595
0.1,1.1870121467248484,0.0006175981275647873,0.9999991878756783,-3.935845563302459,-1.0258622257661063,0.003887326488988318,0.999956924879071,-1.1155937545837784,1.2,0.2,0.012987853275151506,2.2258622257661065
0.15,1.2908219607586764,0.0006591211754837521,0.9999992177983047,-3.7897389395715053,-1.0380806859094123,0.006582604553371931,0.99987938476173,-1.108591011513216,1.3,0.3,0.009178039241323654,2.3380806859094125
0.2,1.3948422488159553,0.0004985122662129858,0.9999996168025598,-3.758852023572643,-1.2446380986512124,0.05261893333445321,0.9946666912245341,-1.647315820409969,1.4,0.4,0.005157751184044601,2.644638098651212
0.25,1.497924397329422,0.0002535386032742577,0.999999914053219,-3.788791563848843,-1.245250235668445,0.07082521434143903,0.9903885393846545,-1.6027422703567524,1.5,0.5,0.0020756026705779362,2.745250235668445
0.3,1.5999247883670955,1.0704428073078317e-05,0.9999999998657083,-3.8540081404080984,-1.1726273780843717,0.1207193778969716,0.9691850216866834,-1.248752473166312,1.6,0.6,7.521163290458155e-05,2.7726273780843718
0.35,1.7010437306837802,0.0001847977275124162,0.9999999645934563,-3.9403134504723005,-0.904576163807337,0.1936958962856131,0.8790794919032543,-0.2963080208701055,1.7,0.7,0.0010437306837802751,2.604576163807337
0.4,1.8015474580005246,0.0003184034858549975,0.9999999062901103,-4.039166699985745,-0.7619544116011011,0.18873696497980794,0.8445464169075265,0.0634249862888756,1.8,0.8,0.001547458000524582,2.5619544116011013
