H,T,curv_fd_euro,se_fd_euro,abs_curv_fd_euro,log_abs_curv_fd_euro,beta_theory_euro,fd_selected_bump_frac,fd_status,fd_blowup_flag,fd_rel_se_selected,fd_neighbor_log_gap_selected,n_steps,n_paths_fd,n_seeds_fd
0.05,0.1,1.1788397575387568,0.718146677505373,1.1788397575387568,0.1645306984408852,0.1,0.1,unstable_fallback,True,0.6091978769063211,1.1634532202852492,256,6000,7
0.05,0.05,2.322778952902979,1.4491037777345923,2.322778952902979,0.8427642933859247,0.1,0.1,unstable_fallback,True,0.6238664148060757,1.1727473789845764,256,6000,7
0.05,0.025,4.551817054212687,2.924056350713604,4.551817054212687,1.5155265058170602,0.1,0.1,unstable_fallback,True,0.6423932060290962,1.1808022882649207,256,6000,7
0.05,0.0125,8.902255285410797,5.883488910028536,8.902255285410797,2.1863046474921592,0.1,0.1,unstable_fallback,True,0.6608986960495865,1.1841916988546721,256,6000,7
0.05,0.00625,17.444821346147695,11.830248407786902,17.444821346147695,2.8590428336088087,0.1,0.1,unstable_fallback,True,0.6781524541321458,1.1873566515134373,256,6000,7
0.1,0.1,1.1846039324895086,0.7369704004133586,1.1846039324895086,0.16940848453233107,0.2,0.1,stable,True,0.6221238847861799,1.068089466243248,256,6000,7
0.1,0.05,2.315208217152258,1.5133053494236708,2.315208217152258,0.8394996261079694,0.2,0.1,stable,True,0.6536368254968703,1.0929319914556754,256,6000,7
0.1,0.025,4.543626397808041,3.073741585174662,4.543626397808041,1.5137254592464555,0.2,0.1,unstable_fallback,True,0.6764952300342105,1.122517279197536,256,6000,7
0.1,0.0125,8.840951916609907,6.204733540734007,8.840951916609907,2.1793945537265915,0.2,0.1,unstable_fallback,True,0.7018173607614454,1.1409016408073167,256,6000,7
0.1,0.00625,17.117313810871632,12.505997130465545,17.117313810871632,2.8400904548323607,0.2,0.1,unstable_fallback,True,0.7306051211448069,1.1617924051925537,256,6000,7
0.15,0.1,1.1133039616809803,0.7816805969010329,1.1133039616809803,0.1073321362488252,0.3,0.1,stable,True,0.702126843886167,1.050956258480105,256,6000,7
0.15,0.05,2.1572220031637506,1.5794043102825874,2.1572220031637506,0.7688212843008573,0.3,0.1,stable,True,0.7321473209369531,1.0710557763762854,256,6000,7
0.15,0.025,4.263615552183898,3.162246683131722,4.263615552183898,1.4501175214910522,0.3,0.1,unstable_fallback,True,0.7416819467955933,1.1175731974692498,256,6000,7
0.15,0.0125,8.37901104111513,6.377568260302699,8.37901104111513,2.125729893343031,0.3,0.1,unstable_fallback,True,0.7611361566428887,1.1804591282458157,256,6000,7
0.15,0.00625,16.393834166850283,12.865256988892483,16.393834166850283,2.7969052987014704,0.3,0.1,unstable_fallback,True,0.784761932928852,1.2342036787797368,256,6000,7
0.2,0.1,1.0218877828720268,0.8298830495798499,1.0218877828720268,0.021651684257805767,0.4,0.1,unstable_fallback,True,0.8121078101623396,1.0746107556674547,256,6000,7
0.2,0.05,2.081392753173393,1.6450925602223836,2.081392753173393,0.7330372625077647,0.4,0.1,unstable_fallback,True,0.7903806514720468,1.1292018220528772,256,6000,7
